idx,utc_iso,image,true_label,true_class,pred_label,pred_class,sil_label,sil_class,mil_label,mil_class,frame_file,ts_ms,temp_c,cyc_capture,cyc_pre,cyc_inf,cyc_post,cyc_total,us_capture,us_pre,us_inf,us_post,us_total
1,2026-09-13T02:01:13.187723+00:00,Placas11475.jpg,0,Class1,0,Class1,,,,,,12946,37,890445,1359152,158328111,299,160578007,2226.113,3397.88,395820.281,0.748,401445.0
2,2026-09-13T02:01:15.677790+00:00,Motospl12125.jpg,1,Class2,1,Class2,,,,,,15436,37,890989,1359750,158396435,203,160647377,2227.472,3399.375,395991.063,0.507,401618.438
3,2026-09-13T02:01:18.171291+00:00,Motospl10111.jpg,1,Class2,1,Class2,,,,,,17925,37,828013,1361332,158364469,293,160554107,2070.032,3403.33,395911.188,0.733,401385.281
4,2026-09-13T02:01:20.663655+00:00,Motospl11826.jpg,1,Class2,1,Class2,,,,,,20415,37,783224,1367231,158382355,1351,160534161,1958.06,3418.078,395955.875,3.378,401335.406
5,2026-09-13T02:01:23.149124+00:00,Motospl10004.jpg,1,Class2,0,Class1,,,,,,22904,37,813266,1364898,158337447,235,160515846,2033.165,3412.245,395843.594,0.587,401289.625
6,2026-09-13T02:01:25.606480+00:00,Motospl11428.jpg,1,Class2,1,Class2,,,,,,25361,36,524363,1363132,158358759,311,160246565,1310.907,3407.83,395896.875,0.777,400616.375
7,2026-09-13T02:01:28.098830+00:00,Placasm10495.jpg,0,Class1,0,Class1,,,,,,27850,36,794636,1365090,158382699,219,160542644,1986.59,3412.725,395956.781,0.548,401356.594
8,2026-09-13T02:01:30.570841+00:00,placaas10612.jpg,0,Class1,0,Class1,,,,,,30340,36,738749,1360526,158354941,205,160454421,1846.872,3401.315,395887.344,0.512,401136.031
9,2026-09-13T02:01:33.041172+00:00,Placas11096.jpg,0,Class1,0,Class1,,,,,,32797,37,512159,1360087,158438205,297,160310748,1280.397,3400.217,396095.5,0.743,400776.875
10,2026-09-13T02:01:35.522888+00:00,placaas11188.jpg,0,Class1,0,Class1,,,,,,35286,37,955670,1365164,158392151,327,160713312,2389.175,3412.91,395980.344,0.817,401783.281
11,2026-09-13T02:01:38.013757+00:00,Motospl11261.jpg,1,Class2,1,Class2,,,,,,37776,37,968162,1362476,158330147,199,160660984,2420.405,3406.19,395825.375,0.498,401652.469
12,2026-09-13T02:01:40.475042+00:00,Motospl11833.jpg,1,Class2,1,Class2,,,,,,40233,35,581311,1360900,158373835,299,160316345,1453.277,3402.25,395934.594,0.748,400790.875
